date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:13:55	6144/6144	---M-Z	200	added ('OK')	text/html	date:Wed,%2029%20Apr%202020%2003:35:46%20GMT	http://affixtheme.com/html/xmee/demo/login-4.html	C:/Users/Ahmed/Desktop/form/affixtheme.com/html/xmee/demo/login-4.html	(from )
20:13:56	1237/1237	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2012%20Jun%202020%2015:13:59%20GMT	http://affixtheme.com/robots.txt		(from )
20:13:56	1395/1395	---M--	200	added ('OK')	image/png	date:Tue,%2010%20Mar%202020%2002:56:24%20GMT	http://affixtheme.com/html/xmee/demo/img/favicon.png	C:/Users/Ahmed/Desktop/form/affixtheme.com/html/xmee/demo/img/favicon.png	(from http://affixtheme.com/html/xmee/demo/login-4.html)
20:13:57	140936/140936	---M-Z	200	added ('OK')	text/css	date:Wed,%2026%20Feb%202020%2005:22:58%20GMT	http://affixtheme.com/html/xmee/demo/css/bootstrap.min.css	C:/Users/Ahmed/Desktop/form/affixtheme.com/html/xmee/demo/css/bootstrap.min.css	(from http://affixtheme.com/html/xmee/demo/login-4.html)
20:13:58	54456/54456	---M-Z	200	added ('OK')	text/css	date:Wed,%2026%20Feb%202020%2005:22:58%20GMT	http://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css	C:/Users/Ahmed/Desktop/form/affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css	(from http://affixtheme.com/html/xmee/demo/login-4.html)
20:13:58	1674/1674	---M-Z	200	added ('OK')	text/css	date:Wed,%2026%20Feb%202020%2005:22:58%20GMT	http://affixtheme.com/html/xmee/demo/font/flaticon.css	C:/Users/Ahmed/Desktop/form/affixtheme.com/html/xmee/demo/font/flaticon.css	(from http://affixtheme.com/html/xmee/demo/login-4.html)
20:14:00	231497/231497	---M-Z	200	added ('OK')	text/css	date:Fri,%2001%20May%202020%2014:59:19%20GMT	http://affixtheme.com/html/xmee/demo/style.css	C:/Users/Ahmed/Desktop/form/affixtheme.com/html/xmee/demo/style.css	(from http://affixtheme.com/html/xmee/demo/login-4.html)
20:14:00	2116/2116	---M--	200	added ('OK')	image/png	date:Tue,%2010%20Mar%202020%2005:11:00%20GMT	http://affixtheme.com/html/xmee/demo/img/logo-4.png	C:/Users/Ahmed/Desktop/form/affixtheme.com/html/xmee/demo/img/logo-4.png	(from http://affixtheme.com/html/xmee/demo/login-4.html)
20:14:01	5129/5129	---M-Z	200	added ('OK')	text/html	date:Wed,%2029%20Apr%202020%2003:35:44%20GMT	http://affixtheme.com/html/xmee/demo/forgot-password-4.html	C:/Users/Ahmed/Desktop/form/affixtheme.com/html/xmee/demo/forgot-password-4.html	(from http://affixtheme.com/html/xmee/demo/login-4.html)
20:14:01	7809/7809	---M-Z	200	added ('OK')	text/html	date:Wed,%2029%20Apr%202020%2003:35:46%20GMT	http://affixtheme.com/html/xmee/demo/register-4.html	C:/Users/Ahmed/Desktop/form/affixtheme.com/html/xmee/demo/register-4.html	(from http://affixtheme.com/html/xmee/demo/login-4.html)
20:14:03	21004/21004	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2026%20Feb%202020%2005:23:00%20GMT	http://affixtheme.com/html/xmee/demo/js/popper.min.js	C:/Users/Ahmed/Desktop/form/affixtheme.com/html/xmee/demo/js/popper.min.js	(from http://affixtheme.com/html/xmee/demo/login-4.html)
20:14:04	5594/5594	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2026%20Feb%202020%2005:23:00%20GMT	http://affixtheme.com/html/xmee/demo/js/imagesloaded.pkgd.min.js	C:/Users/Ahmed/Desktop/form/affixtheme.com/html/xmee/demo/js/imagesloaded.pkgd.min.js	(from http://affixtheme.com/html/xmee/demo/login-4.html)
20:14:05	51039/51039	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2026%20Feb%202020%2005:23:00%20GMT	http://affixtheme.com/html/xmee/demo/js/bootstrap.min.js	C:/Users/Ahmed/Desktop/form/affixtheme.com/html/xmee/demo/js/bootstrap.min.js	(from http://affixtheme.com/html/xmee/demo/login-4.html)
20:14:05	68100/68100	---M--	200	added ('OK')	image/jpeg	date:Mon,%2009%20Mar%202020%2004:57:24%20GMT	http://affixtheme.com/html/xmee/demo/img/figure/bg4-l.jpg	C:/Users/Ahmed/Desktop/form/affixtheme.com/html/xmee/demo/img/figure/bg4-l.jpg	(from http://affixtheme.com/html/xmee/demo/login-4.html)
20:14:05	7721/7721	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2026%20Feb%202020%2005:23:00%20GMT	http://affixtheme.com/html/xmee/demo/js/validator.min.js	C:/Users/Ahmed/Desktop/form/affixtheme.com/html/xmee/demo/js/validator.min.js	(from http://affixtheme.com/html/xmee/demo/login-4.html)
20:14:05	89492/89492	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2029%20Apr%202020%2003:34:18%20GMT	http://affixtheme.com/html/xmee/demo/js/jquery-3.5.0.min.js	C:/Users/Ahmed/Desktop/form/affixtheme.com/html/xmee/demo/js/jquery-3.5.0.min.js	(from http://affixtheme.com/html/xmee/demo/login-4.html)
20:14:05	1310/1310	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2030%20Apr%202020%2006:33:08%20GMT	http://affixtheme.com/html/xmee/demo/js/main.js	C:/Users/Ahmed/Desktop/form/affixtheme.com/html/xmee/demo/js/main.js	(from http://affixtheme.com/html/xmee/demo/login-4.html)
20:14:17	72148/72148	---M--	200	added ('OK')	font/woff2	date:Wed,%2026%20Feb%202020%2005:23:00%20GMT	http://affixtheme.com/html/xmee/demo/webfonts/fa-brands-400.woff2	C:/Users/Ahmed/Desktop/form/affixtheme.com/html/xmee/demo/webfonts/fa-brands-400.woff2	(from http://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
20:14:18	1237/1237	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2012%20Jun%202020%2015:14:21%20GMT	http://affixtheme.com/html/xmee/demo/webfonts/fa-brands-400.svg	C:/Users/Ahmed/Desktop/form/affixtheme.com/html/xmee/demo/webfonts/fa-brands-400.14.delayed	(from http://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
20:14:20	84568/84568	---M--	200	added ('OK')	font/woff	date:Wed,%2026%20Feb%202020%2005:23:00%20GMT	http://affixtheme.com/html/xmee/demo/webfonts/fa-brands-400.woff	C:/Users/Ahmed/Desktop/form/affixtheme.com/html/xmee/demo/webfonts/fa-brands-400.woff	(from http://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
20:14:23	125320/125320	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2026%20Feb%202020%2005:23:00%20GMT	http://affixtheme.com/html/xmee/demo/webfonts/fa-brands-400.eot	C:/Users/Ahmed/Desktop/form/affixtheme.com/html/xmee/demo/webfonts/fa-brands-400.eot	(from http://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
20:14:23	34388/34388	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2026%20Feb%202020%2005:23:00%20GMT	http://affixtheme.com/html/xmee/demo/webfonts/fa-regular-400.eot	C:/Users/Ahmed/Desktop/form/affixtheme.com/html/xmee/demo/webfonts/fa-regular-400.eot	(from http://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
20:14:24	125320/125320	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2026%20Feb%202020%2005:23:00%20GMT	http://affixtheme.com/html/xmee/demo/webfonts/fa-brands-400.eot?	C:/Users/Ahmed/Desktop/form/affixtheme.com/html/xmee/demo/webfonts/fa-brands-400d41d.eot	(from http://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
20:14:24	16812/16812	---M--	200	added ('OK')	font/woff	date:Wed,%2026%20Feb%202020%2005:23:02%20GMT	http://affixtheme.com/html/xmee/demo/webfonts/fa-regular-400.woff	C:/Users/Ahmed/Desktop/form/affixtheme.com/html/xmee/demo/webfonts/fa-regular-400.woff	(from http://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
20:14:40	1237/1237	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2012%20Jun%202020%2015:14:43%20GMT	http://affixtheme.com/html/xmee/demo/webfonts/fa-regular-400.svg	C:/Users/Ahmed/Desktop/form/affixtheme.com/html/xmee/demo/webfonts/fa-regular-400.19.delayed	(from http://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
20:14:43	34092/34092	---M--	200	added ('OK')	font/ttf	date:Wed,%2026%20Feb%202020%2005:23:02%20GMT	http://affixtheme.com/html/xmee/demo/webfonts/fa-regular-400.ttf	C:/Users/Ahmed/Desktop/form/affixtheme.com/html/xmee/demo/webfonts/fa-regular-400.ttf	(from http://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
20:14:51	74320/74320	---M--	200	added ('OK')	font/woff2	date:Wed,%2026%20Feb%202020%2005:23:02%20GMT	http://affixtheme.com/html/xmee/demo/webfonts/fa-solid-900.woff2	C:/Users/Ahmed/Desktop/form/affixtheme.com/html/xmee/demo/webfonts/fa-solid-900.woff2	(from http://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
20:15:00	186512/186512	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2026%20Feb%202020%2005:23:02%20GMT	http://affixtheme.com/html/xmee/demo/webfonts/fa-solid-900.eot	C:/Users/Ahmed/Desktop/form/affixtheme.com/html/xmee/demo/webfonts/fa-solid-900.eot	(from http://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
20:15:03	96248/96248	---M--	200	added ('OK')	font/woff	date:Wed,%2026%20Feb%202020%2005:23:02%20GMT	http://affixtheme.com/html/xmee/demo/webfonts/fa-solid-900.woff	C:/Users/Ahmed/Desktop/form/affixtheme.com/html/xmee/demo/webfonts/fa-solid-900.woff	(from http://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
20:15:05	4278/4278	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2026%20Feb%202020%2005:22:58%20GMT	http://affixtheme.com/html/xmee/demo/font/Flaticon.eot	C:/Users/Ahmed/Desktop/form/affixtheme.com/html/xmee/demo/font/Flaticon.eot	(from http://affixtheme.com/html/xmee/demo/font/flaticon.css)
20:15:05	186512/186512	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2026%20Feb%202020%2005:23:02%20GMT	http://affixtheme.com/html/xmee/demo/webfonts/fa-solid-900.eot?	C:/Users/Ahmed/Desktop/form/affixtheme.com/html/xmee/demo/webfonts/fa-solid-900d41d.eot	(from http://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
20:15:06	4278/4278	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2026%20Feb%202020%2005:22:58%20GMT	http://affixtheme.com/html/xmee/demo/font/Flaticon.eot?	C:/Users/Ahmed/Desktop/form/affixtheme.com/html/xmee/demo/font/Flaticond41d.eot	(from http://affixtheme.com/html/xmee/demo/font/flaticon.css)
20:15:06	2368/2368	---M--	200	added ('OK')	font/woff2	date:Wed,%2026%20Feb%202020%2005:22:58%20GMT	http://affixtheme.com/html/xmee/demo/font/Flaticon.woff2	C:/Users/Ahmed/Desktop/form/affixtheme.com/html/xmee/demo/font/Flaticon.woff2	(from http://affixtheme.com/html/xmee/demo/font/flaticon.css)
